0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,2
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,2
58,1
59,1
60,90
61,100
62,102
63,93
64,93
65,87
66,91
67,90
68,89
69,90
70,94
71,101
72,90
73,100
74,102
75,93
76,93
77,87
78,91
79,90
80,89
81,90
82,94
83,101
84,90
85,100
86,102
87,93
88,93
89,87
90,91
91,90
92,89
93,90
94,94
95,101
96,90
97,100
98,102
99,93
100,93
101,87
102,91
103,90
104,89
105,90
106,94
107,101
108,90
109,100
110,102
111,93
112,93
113,87
114,91
115,90
116,89
117,90
118,94
119,101
120,90
121,100
122,102
123,93
124,93
125,87
126,91
127,90
128,89
129,90
130,94
131,101
132,90
133,100
134,102
135,93
136,93
137,87
138,91
139,90
140,89
141,90
142,94
143,101
144,90
145,100
146,102
147,93
148,93
149,87
150,91
151,90
152,89
153,90
154,94
155,101
156,91
157,90
158,89
159,90
160,94
161,101
162,90
163,100
164,102
165,93
166,93
167,87
168,91
169,91
170,90
171,89
172,90
173,94
174,101
175,90
176,100
177,102
178,93
179,93
180,87
181,91
182,91
183,90
184,89
185,90
186,94
187,101
188,90
189,100
190,102
191,93
192,93
193,87
194,91
195,100
196,102
197,93
198,93
199,87
200,91
201,91
202,90
203,89
204,90
205,94
206,101
207,100
208,102
209,93
210,93
211,87
212,91
213,91
214,90
215,89
216,90
217,94
218,101
219,3000
220,3000
221,3004
222,3000
223,3000
224,3002
225,3000
226,3010
227,3000
228,3000
229,3000
230,3004
231,3000
232,3000
233,3002
234,3000
235,3010
236,3000
237,3000
238,3000
239,3004
240,3000
241,3000
242,3002
243,3000
244,3010
245,3000
246,3000
247,3000
248,3004
249,3000
250,3000
251,3002
252,3000
253,3010
254,3000
255,3000
256,3000
257,3004
258,3000
259,3000
260,3002
261,3000
262,3010
263,3000
264,3000
265,3000
266,3004
267,3000
268,3000
269,3002
270,3000
271,3010
272,3000
273,3000
274,3000
275,3004
276,3000
277,3000
278,3002
279,3000
280,3010
281,3000
282,3000
283,3000
284,3004
285,3000
286,3000
287,3002
288,3000
289,3010
290,3000
291,3000
292,3000
293,3004
294,3000
295,3000
296,3002
297,3000
298,3010
299,3000
300,3000
